docid,author,shorttitle,enumcron,firstpub,genres,subjects,allcopiesofwork,tags
uc1.32106002059688,,Earth is the strangest planet : ten stories of science fiction,,1977,Fiction,"Science fiction, American|Science fiction, English",1,"Subj: SF, Other B"
uc1.32106018627064,"Woodrell, Daniel",Give us a kiss : a country noir,,1998,Humorous stories|Fiction,Ozark Mountains Region|Fiction|Country life,1,Humor B
njp.32101068608098,"Blasco Ibáñez, Vicente",Sónnica,,1918,Fiction|NotFiction,,5,randomA
uiuo.ark+=13960=t9d517v44,,The rajah's heir,v.3,1890,,823R137,1,randomA
mdp.39015031242194,"Haggard, H. Rider (Henry Rider)","Allan's wife, and other tales",,1889,Adventure fiction|NotFiction|Short stories,"Quatermain, Allan (Fictitious character)|Fiction|Africa|Hunting",2,Adventure-Not-Western
uc2.ark+=13960=t9s17tj9v,"Arthur, T. S. (Timothy Shay)",The angel and the demon,,1858,Fiction,Fantasy fiction|fast|(OCoLC)fst00920710,3,Subj: Fantasy B
mdp.39015058117311,"Burt, Guy",Sophie,,2003,Novel|Psychological fiction,,1,Psychological B
mdp.39015034031495,"Schweidel, David",Confidence of the heart,,1995,Domestic fiction|Political fiction|Fiction,Guatemala|Fiction|Travel|Weddings|Americans,1,Political-Not-Novel
mdp.39015064964201,,Love is blind,,2004,Love stories|Fiction,Fiction|African Americans,1,Love
uc1.b3546991,"Seymour-Smith, Martin",A cupful of tears; sixteen Victorian novelettes,,1965,Fiction,"Short stories, English",1,"Subj: Short stories, Other"
mdp.39015073820824,,65 great tales of the supernatural,,1979,Short stories,Horror tales|Ghost stories|Paranormal fiction,1,Subj: Horror
mdp.39015073942271,"Su, Tong",Binu and the Great Wall,,2007,Fiction,"Love stories|Fiction|Mythology, Chinese|History|Qin dynasty, 221-207 B.C",1,Subj: History
uva.x030743257,"Stratemeyer, Edward",Richard Dare's venture;,,1894,Juvenile audience|NotFiction,,1,Juvenile B
mdp.39015062547479,"Arthur, Keri",Kiss the night good-bye,,2004,Novel|Occult fiction,Vampires|Fiction,1,Horror
inu.30000124328760,"Thompson, Paul B",The Elven nations trilogy,,2009,Fiction|Fantasy fiction,Elves|Fiction|Magic|Good and evil|Imaginary wars and battles|Krynn (Imaginary place),1,Fantasy
inu.30000029813502,"Carter, Catherine T",Ghost tales of the Moratoc,,1992,NotFiction,"Ghost stories, American|Ghosts|North Carolina",1,Subj: Horror B|randomA
pst.000022805409,,I shudder at your touch : 22 tales of sex and horror,,1991,NotFiction,"Horror tales, English|Erotic literature, American|Horror tales, American",1,Subj: Horror B
uc2.ark+=13960=t7pn8z91m,"Wister, Owen",Lin McLean,,1898,Western stories|NotFiction|Fiction|Biography,American fiction,8,Western
mdp.39015048691748,"Candappa, E. C. T","A cage of her own, and other stories",,1986,Fiction,,1,randomB
wu.89098869308,"Clemmer, Mary",His two wives,,1875,NotFiction,,1,randomB
mdp.39015056812350,,A century of great suspense stories,,2001,Fiction,"Suspense fiction|Detective and mystery stories, American|American fiction|20th century",1,Subj: Detective B
uc1.b4948705,,The Lesbians home journal : stories from the Ladder,,1976,Fiction,"United States|Lesbians|Fiction|Social life and customs|Short stories, American|Lesbians' writings, American",1,"Subj: Short stories, American"
wu.89100131838,"Bates, Lizzie",The Duchess Renée and her court,,1872,Juvenile audience|Fiction,"of France, Duchess, consort of Ercole II d'Este, Duke of Ferrara, Modena, and Reggio|Renée|1510-1575",1,Juvenile B
pst.000058960691,"Pearson, Ridley",The kingdom keepers,,2005,"Suspense fiction|Novel|Fantasy fiction|Adventure stories, American|Fantasy fiction, American",Suspense fiction|Fiction|Teenagers|Cartoon characters|Good and evil|Fantasy|Juvenile fiction|Holography,1,Subj: Fantasy B|Suspense B|Fantasy B
mdp.39015035812265,,Stories of rural Bengal : nine stories,,1944,Short stories,"Short stories, Bengali|Short stories, English|Translations from Bengali|Translations into English",1,"Subj: Short stories, Other"
nyp.33433082285945,"Stratemeyer, Edward","Richard Dare's venture; or, Striking out for himself",,1902,NotFiction,,1,randomB
uc1.32106017874485,"Lavant, Christine",Memoirs from a madhouse,,2004,NotFiction,,1,randomB
uva.x001120777,"Breckenridge, Gerald",The radio boys with the revenue guards,,1922,Juvenile audience|Fiction,,1,Juvenile
mdp.39015056897716,"Myers, Bill",My life as dinosaur dental floss,,1994,Humor,Honesty|Fiction|Humorous stories|Christian life,1,Subj: Humor
mdp.39015013291227,"Brunner, John",The stone that never came down,,1973,Fiction,Science fiction,2,"Subj: SF, Other"
uiuo.ark+=13960=t9w09bq3r,"Caddell, Cecilia Mary",Home & the homeless,v.1,1858,,,3,randomA
dul1.ark+=13960=t5r792w66,"Gaskell, Elizabeth Cleghorn",Wives and daughters,v.2,1866,NotFiction|Novel|Bibliographies|Love stories|Fiction|Domestic fiction|Bildungsromane,"Binder|Social conditions|Fiction in English, 1837-1900 Texts|Women|England|Social life and customs|Fiction|Stepfamilies|Young women|Children of physicians|Fathers and daughters|Bayntun",7,Bildungsroman
pst.000016307247,,School and society through science fiction,,1974,Bibliographies|NotFiction,"Educational sociology|Fiction|Education|Science fiction, American",1,"Subj: SF, American"
uc1.b4437979,"Greeley, Andrew M",Death in April,,1980,NotFiction,,1,randomA
uc2.ark+=13960=t84j0hm3g,"Macnamara, T. J",School-room humour,,1913,,English wit and humor,1,Subj: Humor B
mdp.39015057658778,"Byrd, Max",Shooting the sun,,2004,Western stories|Biographical fiction|Fiction,"Western stories|Mathematicians|Solar eclipses|Eccentrics and eccentricities|Babbage, Charles|Fiction|British|Photographers|West (U.S.)|1791-1871",1,Biographical|Western
mdp.39015041311906,"O'Brien, Patricia",Good intentions : a novel,,1997,Fiction|Detective and mystery stories,Evanston|Stalking|Illinois|Fiction|Families|Intergenerational relations|Divorced women,1,Mystery
mdp.39015033065213,"Brown, Dale",Storming heaven,,1994,War stories|Fiction,United States|Terrorism|Fiction|Fiction|National Guard,1,War-Not-Subj: History|War-Not-Historical
uc1.$b27456,,Anecdota Americana; five hundred stories for the amusement of the five hundred nations that comprise America,,1934,NotFiction,American wit and humor,1,Subj: Humor B
mdp.39015082765374,"Akol, Jacob J",Dinka folktales,,2007,Short stories,Folklore|Dinka (African people),1,Short stories
uc1.b3324527,"Lever, Charles James",Roland Cashel / By Charles Lever. With illustrations by Phiz [pseud.],v. 2,1907,Fiction,,2,randomB
mdp.39015077129032,"Fache, Abdulaziz Anako",The preordained,,2008,Novel|Love stories,Nigerians|Social conditions|Great Britain|Social life and customs|Fiction|Man-woman relationships,1,Subj: Man-woman B|Love
inu.32000002906495,"Du Maurier, Daphne",The parasites,,1949,Domestic fiction|Fiction,Gifted children|Fiction,1,Domestic
mdp.39015069289836,"Joseph, Dwayne S",Never say never,,2005,Fiction,Fiction|Dating (Social customs)|African American women|Man-woman relationships,1,Subj: Man-woman B
mdp.39015040067830,"Ganesan, Indira",Inheritance,,1998,Domestic fiction|Bildungsromane|Fiction,Racially mixed children|India|Fiction,1,Bildungsroman
