genre	numvols	meandate
Short stories	1332	1985.43
Subj: Humor	449	1922.93
Suspense	371	2003.47
Subj: Detective	650	1974.81
Domestic	1117	1992.33
Christian	124	1975.17
Horror	205	1989.45
Juvenile	3071	1894.53
Historical	950	1986.11
Subj: Juvenile	2228	1909.9
Fantasy	317	1992.12
Subj: SF, Other	331	1970.75
Subj: Man-woman	694	1972.54
Adventure	288	1981.65
Humor	406	1991.66
Love	980	1982.12
Novel	3301	1985.96
Western	149	1970.6
Political	177	1985.12
SF	375	1988.16
Subj: Horror	445	1975.04
Bildungsroman	490	1985.69
Subj: Short stories, American	706	1969.27
Subj: History	5090	1930.99
Subj: Fantasy	360	1978.74
Subj: Fairy tales	468	1923.91
Subj: Short stories, Other	1047	1974.07
War	207	1967.19
Psychological	902	1996.89
Subj: SF, American	421	1981.1
Biographical	197	1988.79
Mystery	1377	1986.73
